ID,Створення запис на СТО,Плановий заїзд,Планове закінчення
,2023-01-04 11:47:08,2023-02-12 09:00:00,2023-02-12 09:30:00
,2023-01-04 11:47:08,2023-02-13 09:00:00,2023-02-13 09:30:00
,2023-01-04 11:47:08,2023-02-17 09:00:00,2023-02-17 09:30:00
,2023-01-04 11:47:08,2023-02-18 09:00:00,2023-02-18 15:55:00
,2023-01-04 11:47:08,2023-02-19 09:00:00,2023-02-19 09:30:00
,2023-01-04 11:47:08,2023-02-20 09:00:00,2023-02-20 09:30:00
,2023-01-04 11:47:08,2023-02-22 09:00:00,2023-02-22 09:30:00
,2023-01-04 11:47:08,2023-02-23 09:00:00,2023-02-23 09:30:00
,2023-01-04 11:47:08,2023-02-24 09:00:00,2023-02-24 09:30:00
,2023-01-04 11:47:08,2023-02-25 09:00:00,2023-02-25 22:00:00
,2023-01-04 11:47:08,2023-02-26 09:00:00,2023-02-26 09:30:00
,2023-01-04 11:38:28,2023-01-15 09:00:00,2023-01-15 09:30:00
,2023-01-04 11:38:28,2023-01-16 09:00:00,2023-01-16 09:30:00
,2023-01-04 11:38:28,2023-01-18 09:00:00,2023-01-18 09:30:00
,2023-03-02 09:51:31,2023-03-19 09:00:00,2023-03-19 09:15:00
,2023-03-02 09:51:31,2023-03-21 09:00:00,2023-03-21 09:45:00
,2023-03-02 09:51:31,2023-03-22 09:00:00,2023-03-22 09:15:00
,2023-03-02 09:51:31,2023-03-23 09:00:00,2023-03-23 09:15:00
,2023-03-02 09:51:31,2023-03-24 09:00:00,2023-03-24 09:15:00
,2023-03-02 09:51:31,2023-03-25 09:00:00,2023-03-25 09:15:00
,2023-03-02 09:51:31,2023-03-26 09:00:00,2023-03-26 09:15:00
,2023-03-02 09:51:31,2023-03-27 09:00:00,2023-03-27 11:00:00
,2023-03-02 09:51:31,2023-03-28 09:00:00,2023-03-28 09:15:00
,2023-03-02 09:51:31,2023-03-29 09:00:00,2023-03-29 09:15:00
,2023-03-02 09:51:31,2023-03-30 09:00:00,2023-03-30 09:15:00
,2023-03-02 09:51:31,2023-03-31 09:00:00,2023-03-31 09:15:00
,2023-03-02 09:51:31,2023-04-01 09:00:00,2023-04-01 22:00:00
,2023-03-02 09:51:31,2023-04-02 09:00:00,2023-04-02 09:15:00
,2023-03-02 09:51:31,2023-04-03 09:00:00,2023-04-03 09:15:00
,2023-03-02 09:51:31,2023-04-04 09:00:00,2023-04-04 09:15:00
,2023-03-02 09:51:31,2023-04-05 09:00:00,2023-04-05 09:15:00
,2023-03-02 09:51:31,2023-04-06 09:00:00,2023-04-06 09:15:00
,2023-03-02 09:51:31,2023-04-07 09:00:00,2023-04-07 09:15:00
,2023-03-02 09:51:31,2023-04-08 09:00:00,2023-04-08 22:00:00
,2023-03-02 09:51:31,2023-04-09 09:00:00,2023-04-09 09:15:00
,2023-03-02 09:51:31,2023-04-10 09:00:00,2023-04-10 09:15:00
,2023-03-02 09:51:31,2023-04-11 09:00:00,2023-04-11 09:15:00
,2023-03-02 09:51:31,2023-04-12 09:00:00,2023-04-12 09:15:00
,2023-03-02 09:51:31,2023-04-13 09:00:00,2023-04-13 09:15:00
,2023-03-02 09:51:31,2023-04-14 09:00:00,2023-04-14 09:05:00
,2023-03-02 09:51:31,2023-04-15 09:00:00,2023-04-15 22:00:00
,2023-03-02 09:51:31,2023-04-16 09:00:00,2023-04-16 09:15:00
,2023-03-02 09:51:31,2023-04-17 09:00:00,2023-04-17 22:00:00
,2023-03-02 09:51:31,2023-04-18 09:00:00,2023-04-18 09:15:00
,2023-03-02 09:51:31,2023-04-19 09:00:00,2023-04-19 09:15:00
,2023-03-02 09:51:31,2023-04-20 09:00:00,2023-04-20 09:15:00
,2023-03-02 09:51:31,2023-04-21 09:00:00,2023-04-21 09:15:00
,2023-03-02 09:51:31,2023-04-22 09:00:00,2023-04-22 22:00:00
,2023-03-02 09:51:31,2023-04-23 09:00:00,2023-04-23 09:15:00
,2023-03-02 09:51:31,2023-04-24 09:00:00,2023-04-24 09:15:00
,2023-03-02 09:51:31,2023-04-27 09:00:00,2023-04-27 09:15:00
,2023-03-02 09:51:31,2023-04-29 09:00:00,2023-04-29 22:00:00
,2023-03-02 09:51:31,2023-04-30 09:00:00,2023-04-30 09:15:00
,2023-03-02 09:51:31,2023-05-01 09:00:00,2023-05-01 09:15:00
,2023-03-02 09:51:31,2023-05-03 09:00:00,2023-05-03 09:15:00
,2023-03-02 09:51:31,2023-05-04 09:00:00,2023-05-04 09:15:00
,2023-03-02 09:51:31,2023-05-05 09:00:00,2023-05-05 09:15:00
,2023-03-02 09:51:31,2023-05-06 09:00:00,2023-05-06 11:00:00
,2023-03-02 09:51:31,2023-05-07 09:00:00,2023-05-07 09:15:00
,2023-03-02 09:51:31,2023-05-08 09:00:00,2023-05-08 09:15:00
,2023-03-02 09:51:31,2023-05-09 09:00:00,2023-05-09 18:15:00
,2023-03-02 09:51:31,2023-05-10 09:00:00,2023-05-10 09:15:00
,2023-03-02 09:51:31,2023-05-11 09:00:00,2023-05-11 09:15:00
,2023-03-02 09:51:31,2023-05-12 09:00:00,2023-05-12 19:00:00
,2023-03-02 09:51:31,2023-05-13 09:00:00,2023-05-13 22:00:00
,2023-03-02 09:51:31,2023-05-14 09:00:00,2023-05-14 09:15:00
,2023-03-02 09:51:31,2023-05-15 09:00:00,2023-05-15 09:15:00
,2023-03-02 09:51:31,2023-05-16 09:00:00,2023-05-16 09:15:00
,2023-03-02 09:51:31,2023-05-17 09:00:00,2023-05-17 09:15:00
,2023-03-02 09:51:31,2023-05-18 09:00:00,2023-05-18 09:15:00
,2023-03-02 09:51:31,2023-05-19 09:00:00,2023-05-19 09:15:00
,2023-03-02 09:51:31,2023-05-20 09:00:00,2023-05-20 22:00:00
,2023-03-02 09:51:31,2023-05-21 09:00:00,2023-05-21 09:15:00
,2023-03-02 09:51:31,2023-05-22 09:00:00,2023-05-22 09:15:00
,2023-03-02 09:51:31,2023-05-23 09:00:00,2023-05-23 09:15:00
,2023-03-02 09:51:31,2023-05-24 09:00:00,2023-05-24 09:15:00
,2023-03-02 09:51:31,2023-05-25 09:00:00,2023-05-25 09:15:00
,2023-03-02 09:51:31,2023-05-26 09:00:00,2023-05-26 09:15:00
,2023-02-10 09:11:39,2023-02-11 09:29:33,2023-02-11 09:57:33
,2023-04-18 13:46:39,2023-04-19 15:34:10,2023-04-19 17:04:10
,2023-04-14 11:12:07,2023-04-15 13:33:24,2023-04-15 15:03:24
,2023-01-12 08:24:32,2023-01-12 15:02:41,2023-01-12 18:02:41
,2023-03-17 15:14:33,2023-03-18 09:15:49,2023-03-18 09:59:49
,2023-01-18 15:37:07,2023-01-20 11:31:39,2023-01-20 13:01:39
,2023-01-18 15:39:22,2023-01-20 13:00:08,2023-01-20 14:00:08
,2023-04-20 13:47:58,2023-04-20 16:00:43,2023-04-20 17:00:43
,2023-05-02 09:55:15,2023-05-03 10:00:19,2023-05-03 11:25:19
,2023-04-18 09:44:10,2023-04-18 13:00:51,2023-04-18 14:30:51
,2023-01-09 12:15:32,2023-01-09 14:00:25,2023-01-09 16:00:25
,2023-01-09 10:31:13,2023-01-09 14:29:58,2023-01-09 15:59:58
,2023-01-09 10:33:40,2023-01-09 16:00:43,2023-01-09 17:30:43
,2023-04-18 10:16:39,2023-04-21 12:00:48,2023-04-21 13:30:48
,2023-04-25 14:39:36,2023-04-28 15:30:09,2023-04-28 16:30:09
,2023-04-27 12:44:50,2023-04-28 12:49:36,2023-04-28 13:59:36
,2023-05-02 10:01:30,2023-05-02 15:30:07,2023-05-02 17:00:07
,2023-01-09 15:07:15,2023-01-11 09:30:15,2023-01-11 10:55:15
,2023-04-18 09:16:47,2023-04-19 13:00:09,2023-04-19 14:00:09
,2023-05-02 11:28:35,2023-05-08 12:30:56,2023-05-08 14:30:56
,2023-04-03 10:48:34,2023-04-05 11:00:25,2023-04-05 11:58:25
,2023-01-13 10:28:08,2023-01-16 11:31:18,2023-01-16 13:31:18
,2023-01-04 09:23:21,2023-01-04 14:02:31,2023-01-04 16:52:31
,2023-04-10 14:44:17,2023-04-13 10:30:53,2023-04-13 12:00:53
,2023-04-03 10:37:34,2023-04-03 12:02:15,2023-04-03 13:27:15
,2023-05-08 13:57:21,2023-05-09 13:01:19,2023-05-09 15:01:19
,2023-04-28 09:07:53,2023-04-28 14:36:18,2023-04-28 15:26:18
,2023-01-16 15:13:46,2023-01-18 11:32:00,2023-01-18 14:02:00
,2023-04-03 17:21:53,2023-04-06 12:30:50,2023-04-06 13:30:50
,2023-01-04 09:14:07,2023-01-05 09:00:20,2023-01-05 09:55:20
,2023-04-03 16:39:07,2023-04-08 12:00:28,2023-04-08 13:30:28
,2023-01-16 09:21:22,2023-01-19 10:00:13,2023-01-19 12:30:13
,2023-01-11 13:57:04,2023-01-16 09:00:41,2023-01-16 11:00:41
,2023-04-18 09:32:19,2023-04-19 09:00:21,2023-04-19 10:30:21
,2023-04-14 10:06:27,2023-04-19 12:02:15,2023-04-19 13:32:15
,2023-04-04 13:48:41,2023-04-05 10:59:43,2023-04-05 11:59:43
,2023-01-10 12:46:10,2023-01-12 11:31:37,2023-01-12 14:01:37
,2023-01-11 09:35:00,2023-01-11 11:30:33,2023-01-11 13:00:33
,2023-04-24 10:42:17,2023-04-28 13:00:01,2023-04-28 14:30:01
,2023-04-24 10:48:48,2023-04-25 14:28:54,2023-04-25 15:58:54
,2023-02-16 09:08:13,2023-02-16 14:05:31,2023-02-16 15:35:31
,2023-05-09 10:55:41,2023-05-10 14:03:35,2023-05-10 16:03:35
,2023-03-27 15:06:21,2023-04-16 09:00:27,2023-04-16 09:30:27
,2023-03-27 15:06:21,2023-04-17 09:00:27,2023-04-17 18:00:27
,2023-03-27 15:06:21,2023-04-20 09:00:27,2023-04-20 09:30:27
,2023-03-27 15:06:21,2023-04-21 09:00:27,2023-04-21 09:30:27
,2023-03-27 15:06:21,2023-04-22 09:00:27,2023-04-22 09:30:27
,2023-03-27 15:06:21,2023-04-23 09:00:27,2023-04-23 09:30:27
,2023-03-27 15:06:21,2023-04-25 09:00:27,2023-04-25 09:59:27
,2023-03-27 15:06:21,2023-04-29 09:00:27,2023-04-29 09:30:27
,2023-03-27 15:06:21,2023-04-30 09:00:27,2023-04-30 09:30:27
,2023-03-22 15:48:59,2023-03-23 15:05:12,2023-03-23 17:00:12
,2023-03-27 15:06:21,2023-05-06 09:00:27,2023-05-06 09:30:27
,2023-03-27 15:06:21,2023-05-07 09:00:27,2023-05-07 09:30:27
,2023-03-27 15:06:21,2023-05-10 09:00:27,2023-05-10 09:30:27
,2023-03-27 15:06:21,2023-05-11 09:00:27,2023-05-11 09:30:27
,2023-03-27 15:06:21,2023-05-12 09:00:27,2023-05-12 09:30:27
,2023-03-27 15:06:21,2023-05-13 09:00:27,2023-05-13 09:30:27
,2023-03-27 15:06:21,2023-05-14 09:00:27,2023-05-14 09:30:27
,2023-03-27 15:06:21,2023-05-15 09:00:27,2023-05-15 09:30:27
,2023-03-27 15:06:21,2023-05-16 09:00:27,2023-05-16 09:30:27
,2023-03-27 15:06:21,2023-05-17 09:00:27,2023-05-17 09:30:27
,2023-03-27 15:06:21,2023-05-18 09:00:27,2023-05-18 09:30:27
,2023-03-27 15:06:21,2023-05-19 09:00:27,2023-05-19 09:30:27
,2023-03-27 15:06:21,2023-05-20 09:00:27,2023-05-20 09:30:27
,2023-03-27 15:06:21,2023-05-21 09:00:27,2023-05-21 09:30:27
,2023-03-27 15:06:21,2023-05-22 09:00:27,2023-05-22 09:30:27
,2023-03-27 15:06:21,2023-05-23 09:00:27,2023-05-23 09:30:27
,2023-03-27 15:06:21,2023-05-24 09:00:27,2023-05-24 09:30:27
,2023-03-27 15:06:21,2023-05-25 09:00:27,2023-05-25 09:30:27
,2023-03-27 15:06:21,2023-05-26 09:00:27,2023-05-26 09:30:27
,2023-03-27 15:06:21,2023-05-27 09:00:27,2023-05-27 09:30:27
,2023-03-27 15:06:21,2023-05-28 09:00:27,2023-05-28 09:30:27
,2023-03-27 15:06:21,2023-05-29 09:00:27,2023-05-29 09:30:27
,2023-03-27 15:06:21,2023-05-30 09:00:27,2023-05-30 09:30:27
,2023-03-27 15:06:21,2023-05-31 09:00:27,2023-05-31 09:30:27
,2023-03-27 15:06:21,2023-06-01 09:00:27,2023-06-01 09:30:27
,2023-03-27 15:06:21,2023-06-02 09:00:27,2023-06-02 09:30:27
,2023-03-27 15:06:21,2023-06-03 09:00:27,2023-06-03 09:30:27
,2023-03-27 15:06:21,2023-06-04 09:00:27,2023-06-04 09:30:27
,2023-03-27 15:06:21,2023-06-05 09:00:27,2023-06-05 09:30:27
,2023-03-27 15:06:21,2023-06-06 09:00:27,2023-06-06 09:30:27
,2023-03-27 15:06:21,2023-06-07 09:00:27,2023-06-07 09:30:27
,2023-03-27 15:06:21,2023-06-08 09:00:27,2023-06-08 09:30:27
,2023-03-27 15:06:21,2023-06-09 09:00:27,2023-06-09 09:30:27
,2023-03-27 15:06:21,2023-06-10 09:00:27,2023-06-10 09:30:27
,2023-03-27 15:06:21,2023-06-11 09:00:27,2023-06-11 09:30:27
,2023-03-27 15:06:21,2023-06-12 09:00:27,2023-06-12 09:30:27
,2023-03-27 15:06:21,2023-06-13 09:00:27,2023-06-13 09:30:27
,2023-03-27 15:06:21,2023-06-14 09:00:27,2023-06-14 09:30:27
,2023-03-27 15:06:21,2023-06-15 09:00:27,2023-06-15 09:30:27
,2023-03-27 15:06:21,2023-06-16 09:00:27,2023-06-16 09:30:27
,2023-03-27 15:06:21,2023-06-17 09:00:27,2023-06-17 09:30:27
,2023-03-27 15:06:21,2023-06-18 09:00:27,2023-06-18 09:30:27
,2023-03-27 15:06:21,2023-06-19 09:00:27,2023-06-19 09:30:27
,2023-03-27 15:06:21,2023-06-20 09:00:27,2023-06-20 09:30:27
,2023-03-27 15:06:21,2023-06-21 09:00:27,2023-06-21 09:30:27
,2023-03-27 15:06:21,2023-06-22 09:00:27,2023-06-22 09:30:27
,2023-03-27 15:06:21,2023-06-23 09:00:27,2023-06-23 09:30:27
,2023-03-27 15:06:21,2023-06-24 09:00:27,2023-06-24 09:30:27
,2023-03-27 15:06:21,2023-06-25 09:00:27,2023-06-25 09:30:27
,2023-03-27 15:06:21,2023-06-26 09:00:27,2023-06-26 09:30:27
,2023-03-27 15:06:21,2023-06-27 09:00:27,2023-06-27 09:30:27
,2023-03-27 15:06:21,2023-06-28 09:00:27,2023-06-28 09:30:27
,2023-03-27 15:06:21,2023-06-29 09:00:27,2023-06-29 09:30:27
,2023-03-27 15:06:21,2023-06-30 09:00:27,2023-06-30 09:30:27
,2023-02-22 17:15:34,2023-02-27 14:02:00,2023-02-27 15:00:00
,2023-02-15 13:54:15,2023-02-16 15:02:14,2023-02-16 16:27:14
,2023-03-20 14:52:07,2023-03-23 15:00:00,2023-03-23 17:00:00
,2023-02-21 14:33:58,2023-02-23 17:01:00,2023-02-23 18:01:00
,2023-02-21 14:34:44,2023-02-23 09:33:00,2023-02-23 12:33:00
,2023-03-01 14:43:56,2023-03-07 11:31:00,2023-03-07 15:56:00
,2023-03-01 08:40:32,2023-03-01 09:00:00,2023-03-01 11:00:00
,2023-02-21 11:07:22,2023-02-24 15:39:14,2023-02-24 18:09:14
,2023-03-14 13:21:34,2023-03-21 09:00:42,2023-03-21 10:58:42
,2023-03-22 13:32:43,2023-03-27 15:00:14,2023-03-27 18:00:14
,2023-05-05 14:43:10,2023-05-10 16:05:40,2023-05-10 18:00:40
,2023-02-23 10:45:05,2023-03-01 09:00:00,2023-03-01 11:59:00
,2023-04-07 16:28:57,2023-04-20 09:00:25,2023-04-20 10:00:25
,2023-02-15 16:31:06,2023-02-21 16:03:20,2023-02-21 18:00:20
,2023-04-26 11:51:55,2023-05-01 10:00:59,2023-05-01 11:00:59
,2023-04-10 13:48:13,2023-04-12 16:32:08,2023-04-12 17:57:08
,2023-03-28 10:51:57,2023-03-30 10:31:25,2023-03-30 13:59:25
,2023-02-07 09:10:55,2023-02-09 10:00:27,2023-02-09 12:58:27
,2023-01-31 11:26:54,2023-01-31 15:01:29,2023-01-31 15:59:29
,2023-02-16 17:25:45,2023-02-23 12:01:00,2023-02-23 16:56:00
,2023-01-09 09:37:39,2023-01-11 09:00:02,2023-01-11 12:00:02
,2023-02-06 13:16:48,2023-02-14 09:00:45,2023-02-14 11:58:45
,2023-03-23 12:56:50,2023-03-24 15:02:35,2023-03-24 18:01:35
,2023-03-23 12:24:21,2023-03-29 13:30:48,2023-03-29 16:28:48
,2023-04-18 10:23:06,2023-04-21 12:00:15,2023-04-21 14:58:15
,2023-03-13 09:05:15,2023-03-24 09:00:00,2023-03-24 12:00:00
,2023-04-03 11:05:13,2023-04-05 14:01:25,2023-04-05 15:29:25
,2023-03-14 11:18:29,2023-03-14 15:02:35,2023-03-14 17:02:35
,2023-01-30 13:57:34,2023-02-01 10:01:04,2023-02-01 12:00:04
,2023-05-05 11:25:30,2023-05-18 10:00:24,2023-05-18 13:00:24
,2023-02-16 17:38:04,2023-02-17 10:01:35,2023-02-17 11:59:35
,2023-03-20 12:58:51,2023-03-23 10:30:07,2023-03-23 12:00:07
,2023-02-28 09:32:18,2023-02-28 11:01:00,2023-02-28 13:59:00
,2023-05-03 15:25:14,2023-05-18 13:00:57,2023-05-18 18:00:57
,2023-04-21 08:45:09,2023-04-21 16:32:48,2023-04-21 18:00:48
,2023-03-22 14:48:17,2023-03-28 09:30:47,2023-03-28 11:30:47
,2023-03-20 10:03:41,2023-03-20 09:00:47,2023-03-20 10:28:47
,2023-04-21 09:59:00,2023-04-21 15:00:45,2023-04-21 18:00:45
,2023-02-15 08:52:04,2023-03-01 12:00:00,2023-03-01 14:00:00
,2023-05-09 11:01:38,2023-05-23 15:35:46,2023-05-23 18:00:46
,2023-03-16 15:18:45,2023-03-17 15:00:20,2023-03-17 18:00:20
,2023-03-24 10:17:11,2023-03-29 09:30:31,2023-03-29 12:00:31
,2023-03-27 15:06:21,2023-05-04 09:00:27,2023-05-04 11:00:27
d34b7224-9009-11ed-a991-005056b5d516,2023-01-11 12:41:21,2023-01-11 16:03:53,2023-01-11 17:03:53
04f45b41-90fb-11ed-a991-005056b5d516,2023-01-23 14:43:36,2023-01-27 09:00:20,2023-01-27 12:30:20
a2bf361e-9182-11ed-a991-005056b5d516,2023-01-11 10:41:41,2023-01-17 09:00:00,2023-01-17 11:00:00
a2bf363c-9182-11ed-a991-005056b5d516,2023-01-12 10:09:44,2023-01-16 11:01:06,2023-01-16 13:31:06
a2bf3646-9182-11ed-a991-005056b5d516,2023-01-12 14:34:29,2023-01-13 12:01:10,2023-01-13 14:31:10
a2bf364b-9182-11ed-a991-005056b5d516,2023-01-12 16:05:39,2023-01-13 09:00:42,2023-01-13 09:30:42
a2bf364d-9182-11ed-a991-005056b5d516,2023-01-12 16:15:00,2023-01-13 12:00:27,2023-01-13 14:00:27
764aa0ac-9188-11ed-a991-005056b5d516,2023-01-12 09:54:34,2023-01-14 09:00:29,2023-01-14 09:55:29
4709b9a3-9244-11ed-a991-005056b5d516,2023-01-18 18:06:30,2023-01-23 09:01:36,2023-01-23 14:51:36
6f3c2c51-9245-11ed-a991-005056b5d516,2023-01-10 10:44:17,2023-01-12 11:31:18,2023-01-12 13:01:18
6f3c2c66-9245-11ed-a991-005056b5d516,2023-01-12 10:44:47,2023-01-13 11:01:00,2023-01-13 13:31:00
53789b43-9322-11ed-a991-005056b5d516,2023-03-14 12:41:44,2023-03-15 15:02:41,2023-03-15 17:32:41
4dca73b3-9324-11ed-a991-005056b5d516,2023-01-13 13:19:37,2023-01-21 09:00:41,2023-01-21 11:00:41
58b4f95e-933d-11ed-a991-005056b5d516,2023-01-13 14:51:26,2023-01-13 15:31:10,2023-01-13 17:01:10
58b4f969-933d-11ed-a991-005056b5d516,2023-01-13 17:03:40,2023-01-21 09:00:41,2023-01-21 12:30:41
43125e3d-956c-11ed-a992-005056b5d516,2023-01-16 08:42:41,2023-01-17 10:30:39,2023-01-17 15:30:39
43125e42-956c-11ed-a992-005056b5d516,2023-01-16 10:28:08,2023-01-16 15:03:23,2023-01-16 17:03:23
43125e44-956c-11ed-a992-005056b5d516,2023-01-10 10:18:22,2023-01-19 09:30:57,2023-01-19 14:30:57
43125e48-956c-11ed-a992-005056b5d516,2023-02-20 12:57:04,2023-02-27 09:00:50,2023-02-27 12:00:50
43125e54-956c-11ed-a992-005056b5d516,2023-01-16 16:26:59,2023-01-30 10:00:59,2023-01-30 13:00:59
962ba7d6-956c-11ed-a992-005056b5d516,2023-01-18 08:45:09,2023-01-19 12:32:14,2023-01-19 18:32:14
962ba7e5-956c-11ed-a992-005056b5d516,2023-01-16 16:37:46,2023-01-19 10:01:27,2023-01-19 15:01:27
f0c8c3d3-9649-11ed-a992-005056b5d516,2023-01-17 13:55:43,2023-01-19 09:30:57,2023-01-19 12:00:57
78a0e2ef-96fa-11ed-a993-005056b5d516,2023-02-06 12:47:34,2023-02-08 10:35:45,2023-02-08 13:00:45
3707c7ae-96fd-11ed-a993-005056b5d516,2023-01-16 15:02:40,2023-01-18 09:01:02,2023-01-18 13:31:02
1f5fe829-96fe-11ed-a993-005056b5d516,2023-01-16 09:03:26,2023-01-18 09:01:02,2023-01-18 11:31:02
ccb1c8bb-96ff-11ed-a993-005056b5d516,2023-01-18 09:12:29,2023-01-19 12:01:31,2023-01-19 14:31:31
ccb1c8be-96ff-11ed-a993-005056b5d516,2023-01-18 09:42:23,2023-01-19 16:33:05,2023-01-19 18:03:05
91a7e778-970e-11ed-a993-005056b5d516,2023-02-13 15:29:09,2023-02-15 09:31:27,2023-02-15 12:31:27
21e59365-9711-11ed-a993-005056b5d516,2023-01-18 11:17:08,2023-01-20 11:01:00,2023-01-20 12:00:00
60bcea9e-97c0-11ed-a993-005056b5d516,2023-01-19 10:19:47,2023-01-20 13:01:32,2023-01-20 15:31:32
60bceaa2-97c0-11ed-a993-005056b5d516,2023-01-19 13:25:37,2023-01-21 13:31:52,2023-01-21 15:56:52
892c5475-97c0-11ed-a993-005056b5d516,2023-01-19 09:29:57,2023-01-23 12:31:50,2023-01-23 15:31:50
892c547e-97c0-11ed-a993-005056b5d516,2023-03-02 09:26:46,2023-03-22 09:00:00,2023-03-22 11:55:00
a391caf5-97c1-11ed-a993-005056b5d516,2023-01-17 12:16:05,2023-01-19 09:33:13,2023-01-19 11:58:13
a391caf9-97c1-11ed-a993-005056b5d516,2023-01-17 11:42:32,2023-01-19 12:02:08,2023-01-19 14:02:08
af3df170-97c3-11ed-a993-005056b5d516,2023-01-13 16:20:34,2023-01-19 10:30:10,2023-01-19 12:00:10
b3501efd-97cc-11ed-a993-005056b5d516,2023-01-17 15:16:03,2023-01-19 09:00:00,2023-01-19 10:00:00
f5b71ef2-9883-11ed-a993-005056b5d516,2023-01-20 15:49:26,2023-01-24 14:02:04,2023-01-24 16:02:04
9a10f433-988b-11ed-a993-005056b5d516,2023-01-19 15:13:42,2023-01-20 14:03:07,2023-01-20 15:53:07
395f72ee-98ce-11ed-a993-005056b5d516,2023-01-26 16:55:56,2023-01-27 12:02:55,2023-01-27 13:02:55
b9c78e67-9ae6-11ed-a994-005056b5d516,2023-01-23 09:32:30,2023-01-25 09:01:04,2023-01-25 12:01:04
b9c78e74-9ae6-11ed-a994-005056b5d516,2023-01-23 14:38:21,2023-01-25 14:33:18,2023-01-25 18:03:18
